Datetime,Open,High,Low,Close,AMA,RSI,ATR,PH,PL,PH_val,PL_val,Slope,slope_ph,slope_pl,upper,lower,upos,dnos,signal,position,balance,atmSP,wingCall,wingPut,atmce,atmpe,wce,wpe,atmceS,atmpeS,wingceS,wingpeS
2025-03-03 09:15:00,22194.55,22261.55,22154.85,22174.55,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Hold,hold,100000.0,,,,0,0,0,0,,,,
2025-03-03 09:30:00,22173.2,22189.25,22127.5,22130.35,0.0,0.0,0.0,0,0,22189.25,22127.5,0.0,0.0,0.0,0.0,0.0,1,0,Buy,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 09:45:00,22130.1,22133.0,22050.55,22067.5,0.0,0.0,0.0,0,0,22133.0,22050.55,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 10:00:00,22068.1,22072.2,22012.25,22024.9,0.0,0.0,0.0,0,0,22072.2,22012.25,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 10:15:00,22025.55,22104.2,22022.8,22100.2,0.0,0.0,0.0,0,0,22104.2,22022.8,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 10:30:00,22097.15,22100.9,22038.4,22046.0,0.0,0.0,0.0,0,0,22100.9,22038.4,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 10:45:00,22044.4,22080.55,22035.1,22045.1,0.0,0.0,0.0,0,0,22080.55,22035.1,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 11:00:00,22043.8,22049.85,22005.7,22031.6,0.0,0.0,0.0,0,0,22049.85,22005.7,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 11:15:00,22030.55,22036.45,22004.7,22031.45,0.0,0.0,0.0,0,0,22036.45,22004.7,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 11:30:00,22031.5,22044.25,22010.5,22017.75,0.0,0.0,0.0,0,0,22044.25,22010.5,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 11:45:00,22017.05,22040.3,22011.35,22012.8,0.0,0.0,0.0,0,0,22040.3,22011.35,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 12:00:00,22013.1,22055.85,22006.7,22054.75,0.0,0.0,0.0,0,0,22055.85,22006.7,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 12:15:00,22054.55,22086.5,22037.1,22073.3,0.0,0.0,0.0,0,0,22086.5,22037.1,0.0,0.0,0.0,0.0,0.0,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 12:30:00,22071.5,22110.95,22070.85,22105.45,0.0,0.0,55.53214285714317,0,0,22110.95,22070.85,3.966581632653084,3.966581632653084,3.966581632653084,-3.966581632653084,3.966581632653084,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 12:45:00,22105.85,22154.15,22105.85,22113.75,22103.503933017415,42.644568110331555,55.04413265306157,False,False,22110.95,22070.85,3.931723760932969,3.966581632653084,3.966581632653084,-7.933163265306168,7.933163265306168,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 13:00:00,22113.55,22155.05,22105.0,22154.8,22103.98441473655,48.1866635281458,54.687408892128545,False,False,22110.95,22070.85,3.906243492294896,3.966581632653084,3.966581632653084,-11.899744897959252,11.899744897959252,1,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 13:15:00,22154.95,22174.15,22110.4,22117.15,22104.48501713999,43.98836102774341,55.33473682840508,True,False,22174.15,22070.85,3.952481202028934,3.952481202028934,3.966581632653084,22174.15,15.866326530612335,0,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 13:30:00,22120.3,22126.3,22092.45,22119.1,22105.0237887375,44.25923924154424,53.80011276923318,False,False,22174.15,22070.85,3.8428651978023702,3.952481202028934,3.966581632653084,22170.197518797973,19.83290816326542,0,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 13:45:00,22121.3,22149.75,22098.6,22100.2,22105.412081939892,42.132450318765834,53.610819000002344,False,False,22174.15,22070.85,3.829344214285882,3.952481202028934,3.966581632653084,22166.245037595945,23.799489795918504,0,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 14:00:00,22099.7,22128.5,22071.9,22122.15,22105.883399105394,45.41314576620864,53.8243319285735,False,False,22174.15,22070.85,3.84459513775525,3.952481202028934,3.966581632653084,22162.292556393917,27.76607142857159,0,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 14:15:00,22124.45,22153.55,22092.3,22146.95,22106.644363854102,48.93564200859922,54.35473679081825,False,False,22174.15,22070.85,3.8824811993441606,3.952481202028934,3.966581632653084,22158.34007519189,31.732653061224674,0,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 14:30:00,22148.6,22150.8,22120.4,22138.65,22107.55137149234,47.823363154975965,52.6436841629025,False,False,22174.15,22070.85,3.760263154493036,3.952481202028934,3.966581632653084,22154.38759398986,35.699234693877756,0,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 14:45:00,22142.7,22144.75,22112.35,22130.9,22108.496526886043,46.75474541334094,51.19770672269528,False,False,22174.15,22070.85,3.6569790516210916,3.952481202028934,3.966581632653084,22150.435112787833,39.66581632653084,0,0,Hold,beginx,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 15:00:00,22129.8,22130.85,22099.2,22117.25,22109.337384535338,44.853684544758835,49.80501338535995,False,False,22174.15,22070.85,3.5575009560971393,3.952481202028934,3.966581632653084,22146.482631585804,43.63239795918392,0,0,Hold,squareoff,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
2025-03-03 15:15:00,22117.25,22146.55,22110.1,22143.15,22110.330024688334,49.08403278832413,48.85108385783429,False,False,22174.15,22070.85,3.4893631327024495,3.952481202028934,3.966581632653084,22142.530150383776,47.598979591837,1,0,Buy,squareoff,,22150.0,22550.0,21750.0,45446,45449,45470,45429,,,,
